pair,token0,token1
0x8d547a3e42828093e31a8c3f2a864036984b64ee,0x2e44f3f609ff5aa4819b323fd74690f07c3607c4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x4de8c60541fdadd33404ccb2c8b83907ce617341,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc575bd129848ce06a460a19466c30e1d0328f52c
0xad4e4954b2f22525f5c9d7e7182fff9cf251d0f7,0x7ef790d9bccc87989be0fdb88ffb955bec3d5e92,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3075ff29511446fec10a662d1866475bec1b3637,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf211b655431c10e72c1caeae37688ae9f7f7a549
0x1feba0703e33912cf846f9b260b3ab6700d7a8f4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc9c9d91fe881ebb5d6b33668cd3c649b68db488e
0x69c66beafb06674db41b22cfc50c34a93b8d82a2,0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9c4cc862f51b1ba90485de3502aa058ca4331f32,0x26c8afbbfe1ebaca03c2bb082e69d0476bffe099,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7
0x4dd26482738be6c06c31467a19dcda9ad781e8c4,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3a8c5185699bd76968dbb4c724f586e806e784a7,0x6a76a004f3bda1447b7d8bbea8355866420b8cb5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc9a4ee825c558d4cf5057fb6229f122b33a224f2,0x8cedb0680531d26e62abdbd0f4c5428b7fdc26d5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xeb97b7d2a97eaf3afd77717922b5ceb7cba339a4,0xb6aaa0efdfac186652e3b31a6f07a9a74d1b5a75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5ced44f03ff443bbe14d8ea23bc24425fb89e3ed,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x308c6fbd6a14881af333649f17f2fde9cd75e2a6,0x1121acc14c63f3c872bfca497d10926a6098aac5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcbe856765eeec3fdc505ddebf9dc612da995e593,0x12970e6868f88f6557b76120662c1b3e50a646bf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcf4236db746dbc1855a4d095aaf58da9b030491e,0x5732046a883704404f284ce41ffadd5b007fd668,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e
0x6ec94f50cadcc79984463688de42a0ca696ec2db,0x9cdf242ef7975d8c68d5c1f5b6905801699b1940,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0xc555d55279023e732ccd32d812114caf5838fd46,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2fb831ec22579768c453c419ce1e8a94fba17edf,0x7ee089ebb18771caf5bf483a4ee49c4de04295f2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7b73644935b8e68019ac6356c40661e1bc315860,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb36ec83d844c0579ec2493f10b2087e96bb65460,0xb2617246d0c6c0087f18703d576831899ca94f01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8f6a3da33da2ecf1a570da4091dfd55be32b7a13,0x0f79dff082b6f4324528f5ded2d6b8aa6d576277,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe4bb64b976ba9fb3647af2a958760e8c7d7a85ac,0x555907a0b5c32df0feb35401187aed60a9191d74,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x48789721450d78c08bae61f0f91bcc9ec87cbb7e,0x4604151d4c98d1eea200b0d6bffb79a2613182aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x69c7bd26512f52bf6f76fab834140d13dda673ca,0x8ed97a637a790be1feff5e888d43629dc05408f6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf07a84f0732dfe8eea0d3961bcd8f62c761ff508,0x292fcdd1b104de5a00250febba9bc6a5092a0076,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1112956589a2bea1b038732db4ea6b0c416ef130,0x32b053f2cba79f80ada5078cb6b305da92bde6e1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xda09d624c62e0a0ca19fe7dbe541bfc80578cd42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeeb3d7f9e419a503ce426469cc0725b5cd638b38
0xfff8d5fff6ee3226fa2f5d7d5d8c3ff785be9c74,0x26e550ac11b26f78a04489d5f20f24e3559f7dd9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x470dc172d6502ac930b59322ece5345dd456a03d,0x28561b8a2360f463011c16b6cc0b0cbef8dbbcad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8c1c499b1796d7f3c2521ac37186b52de024e58c,0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0xb50b9b10b801ca654bfbbac5181fbd5cf36843a1,0x01414b3bb7f92ce5decb2b78cf847d5e5e73bb4d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0b07188b12e3bba6a680e553e23c4079e98a034b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf944e35f95e819e752f3ccb5faf40957d311e8c5
0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x454954e9afc59fad90ae04068691304d2f5e249f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf477ac7719e2e659001455cdda0cc8f3ad10b604
0x11b75f4b9b1369da704cb19287b498a130c856fe,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcf01a5c02c9b9dd5bf73a5a56bcdbc9dca483d43
0xa24abec429f38ae143d2c32b7ab7626c761970f0,0x9cf9a0eb6f01a858cbd8b3bedda665247a48b75d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xbf16540c857b4e32ce6c37d2f7725c8eec869b8b,0x3ffeea07a27fab7ad1df5297fa75e77a43cb5790,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x904fde9bb36fc1b670e2409a9ef1f3e143167706,0x2bb84fd8f7ed0ffae3da36ad60d4d7840bdeeada,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x25647e01bd0967c1b9599fa3521939871d1d0888,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
0xb9dce40ac352c84ca11f94c3ce8ec37b747fa658,0x634769eb87542eaf41c0008c05d5d8f5d8bec3a5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9c04560df8dff626555317ccc2c336b9c24fda41,0x33f289d91286535c47270c8479f6776fb3adeb3e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0d1cfdb753f03500f5ae1f565dc3823367630061,0xa93d86af16fe83f064e3c0e2f3d129f7b7b002b0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x52c77b0cb827afbad022e6d6caf2c44452edbc39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c
0x1ffec7119e315b15852557f654ae0052f76e6ae1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf94e7d0710709388bce3161c32b4eea56d3f91cc
0x44bdbc621752f0bc4043c67d2e6c4434b4ba63ec,0x0aff507ac29b8cea2fb10d2ad14408c2d79a35ad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0107e28861e5cfbf94d051d09ccf599eba0bc835,0x34dbb38c29573c5af5149b4f175056fed59ec3b6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2049df3435bdbb36d22f98fcd2e5027049a1f3ce,0x80122c6a83c8202ea365233363d3f4837d13e888,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x570febdf89c07f256c75686caca215289bb11cfc,0xbbc2ae13b23d715c30720f079fcd9b4a74093505,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x9ec9367b8c4dd45ec8e7b800b1f719251053ad60,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xe945683b3462d2603a18bdfbb19261c6a4f03ad1,0xb90b2a35c65dbc466b04240097ca756ad2005295,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x859f7092f56c43bb48bb46de7119d9c799716cdf,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2a6c340bcbb0a79d3deecd3bc5cbc2605ea9259f,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x130fed774615db290647b2e790030225fc2797ec,0x64b3b21ee104f434380270749d8d5bfd481fdcf6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x99dfde431b40321a35deb6aeb55cf338ddd6eccd,0x0202be363b8a4820f3f4de7faf5224ff05943ab1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x50b72ce443964044e383cd68de794d55a7cfae8a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf4845f1f91aee2ee9512071006dd5214592289e8
0x8d58e202016122aae65be55694dbce1b810b4072,0x44971abf0251958492fee97da3e5c5ada88b9185,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x60031819a16266d896268cfea5d5be0b6c2b5d75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf411903cbc70a74d22900a5de66a2dda66507255
0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd46ba6d942050d489dbd938a2c909a5d5039a161
0xd57d861620210ad8452268d16229f8edeb86bcb0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xda2e903b0b67f30bf26bd3464f9ee1a383bbbe5f
0x3885fbe4cd8aed7b7e9625923927fa1ce30662a3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xee2a03aa6dacf51c18679c516ad5283d8e7c2637
0x67324985b5014b36b960273353deb3d96f2f18c2,0x67466be17df832165f8c80a5a120ccc652bd7e69,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa1bf0e900fb272089c9fd299ea14bfccb1d1c2c0,0x68bbed6a47194eff1cf514b50ea91895597fc91e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xdeba8fd61c1c87b6321a501ebb19e61e610421bf,0x289ff00235d2b98b0145ff5d4435d3e92f9540a6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x85611e73a4d6ef11dd90029b7b0606714775ab72,0x64c5cba9a1bfbd2a5faf601d91beff2dcac2c974,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x683265077729e4470eced184e09e8986fb1da5c1,0x9f417f8649ae22a3a9eeeb12416dd2bd5ebd7b3c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2306005723b785423bf6b490e534259322236038,0x05f226755b11cb3666340551ebbaa615cdfefdd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
